individualid,originalid,Traitname,originaltraitdef,standardisedtraitname,standardisedtraitdef,Trait,originaltraitunit,originalerrorpos,originalerrorneg,originalerrorunit,standardisedtraitvalue,standardisedtraitunit,standardisederrorpos,standardisederrorneg,standardisederrorunit,replicates,habitat,labfield,arenavalue,arenaunit,arenavaluesi,arenaunitsi,ambienttemp,ambienttempmethod,ambienttempunit,ambientlight,ambientlightunit,secondstressor,secondstressordef,secondstressorvalue,secondstressorunit,timestart,timeend,totalobstimevalue,totalobstimeunit,totalobstimevaluesi,totalobstimeunitsi,totalobstimenotes,resrepvalue,resrepunit,resrepvaluesi,resrepunitsi,locationtext,locationtype,originallocationdate,locationdate,locationdateprecision,coordinatetype,latitude,longitude,interactor1,interactor1common,interactor1wholepart,interactor1wholeparttype,interactor1number,interactor1kingdom,interactor1phylum,interactor1class,interactor1order,interactor1family,interactor1genus,interactor1species,interactor1stage,interactor1sex,Temp,interactor1tempunit,interactor1tempmethod,interactor1growthtemp,interactor1growthtempunit,interactor1growthdur,interactor1growthdurunit,interactor1growthtype,interactor1acc,interactor1acctemp,interactor1acctempnotes,interactor1acctime,interactor1acctimenotes,interactor1acctimeunit,interactor1origtemp,interactor1origtempnotes,interactor1origtime,interactor1origtimenotes,interactor1origtimeunit,interactor1equilibtimevalue,interactor1equilibtimeunit,interactor1size,interactor1sizeunit,interactor1sizetype,interactor1sizesi,interactor1sizeunitsi,interactor1denvalue,interactor1denunit,interactor1dentypesi,interactor1denvaluesi,interactor1denunitsi,interactor1massvaluesi,interactor1massunitsi,interactor2common,interactor2kingdom,interactor2phylum,interactor2class,interactor2order,interactor2family,interactor2genus,interactor2species,interactor2stage,interactor2sex,interactor2temp,interactor2tempunit,interactor2tempmethod,interactor2growthtemp,interactor2growthtempunit,interactor2growthdur,interactor2growthdurunit,interactor2growthtype,interactor2acc,interactor2acctemp,interactor2acctempnotes,interactor2acctime,interactor2acctimenotes,interactor2acctimeunit,interactor2origtemp,interactor2origtempnotes,interactor2origtime,interactor2origtimenotes,interactor2origtimeunit,interactor2equilibtimevalue,interactor2equilibtimeunit,interactor2size,interactor2sizeunit,interactor2sizetype,interactor2sizesi,interactor2sizeunitsi,interactor2denvalue,interactor2denunit,interactor2dentypesi,interactor2denvaluesi,interactor2denunitsi,interactor2massvaluesi,interactor2massunitsi,physicalprocess,physicalprocess_1,physicalprocess_2,figuretable,citation,doi,curatedbycitation,curatedbydoi,submittedby,contributoremail,notes,published,embargorelease,curve_ID
NA,MSS0066,development time,mean duration of life stage,NA,NA,15.5,days,2.8,2.8,sem,NA,NA,NA,NA,NA,NA,terrestrial,laboratory,NA,NA,NA,NA,NA,NA,NA,NA,NA,rearing water type,binomial (1=tap water 0=rainwater),0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Adelaide Australia,field (houses in urban area),NA,01/02/2009,4,decimal,-34.5539,138.36,Aedes notoscriptus,NA,NA,NA,75,Animalia,Arthropoda,Insecta,Diptera,Culicidae,Aedes,notoscriptus,larval,NA,15,Celsius,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,table 1,Williams and Rau 2011. Growth and development performance of the ubiquitous urban mosquito Aedes notoscriptus (Diptera: Culicidae) in Australia varies with water type and temperature. Australian Journal of Entomology 50:2,10.1111/j.1440-6055.2010.00806.x,Shocket et al. 2018. Temperature explains broad patterns of Ross River virus transmission. eLife 7:e37762,10.7554/eLife.37762,Paul Huxley,phuxly@gmail.com,NA,TRUE,01/01/2011,1
NA,MSS0066,development time,mean duration of life stage,NA,NA,16.2,days,0.6,0.6,sem,NA,NA,NA,NA,NA,NA,terrestrial,laboratory,NA,NA,NA,NA,NA,NA,NA,NA,NA,rearing water type,binomial (1=tap water 0=rainwater),0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Adelaide Australia,field (houses in urban area),NA,01/02/2009,4,decimal,-34.5539,138.36,Aedes notoscriptus,NA,NA,NA,75,Animalia,Arthropoda,Insecta,Diptera,Culicidae,Aedes,notoscriptus,larval,NA,18,Celsius,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,table 1,Williams and Rau 2011. Growth and development performance of the ubiquitous urban mosquito Aedes notoscriptus (Diptera: Culicidae) in Australia varies with water type and temperature. Australian Journal of Entomology 50:2,10.1111/j.1440-6055.2010.00806.x,Shocket et al. 2018. Temperature explains broad patterns of Ross River virus transmission. eLife 7:e37762,10.7554/eLife.37762,Paul Huxley,phuxly@gmail.com,NA,TRUE,01/01/2011,1
NA,MSS0066,development time,mean duration of life stage,NA,NA,10,days,0.1,0.1,sem,NA,NA,NA,NA,NA,NA,terrestrial,laboratory,NA,NA,NA,NA,NA,NA,NA,NA,NA,rearing water type,binomial (1=tap water 0=rainwater),0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Adelaide Australia,field (houses in urban area),NA,01/02/2009,4,decimal,-34.5539,138.36,Aedes notoscriptus,NA,NA,NA,75,Animalia,Arthropoda,Insecta,Diptera,Culicidae,Aedes,notoscriptus,larval,NA,25,Celsius,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,table 1,Williams and Rau 2011. Growth and development performance of the ubiquitous urban mosquito Aedes notoscriptus (Diptera: Culicidae) in Australia varies with water type and temperature. Australian Journal of Entomology 50:2,10.1111/j.1440-6055.2010.00806.x,Shocket et al. 2018. Temperature explains broad patterns of Ross River virus transmission. eLife 7:e37762,10.7554/eLife.37762,Paul Huxley,phuxly@gmail.com,NA,TRUE,01/01/2011,1
NA,MSS0066,development time,mean duration of life stage,NA,NA,6.8,days,0.1,0.1,sem,NA,NA,NA,NA,NA,NA,terrestrial,laboratory,NA,NA,NA,NA,NA,NA,NA,NA,NA,rearing water type,binomial (1=tap water 0=rainwater),0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Adelaide Australia,field (houses in urban area),NA,01/02/2009,4,decimal,-34.5539,138.36,Aedes notoscriptus,NA,NA,NA,75,Animalia,Arthropoda,Insecta,Diptera,Culicidae,Aedes,notoscriptus,larval,NA,29,Celsius,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,table 1,Williams and Rau 2011. Growth and development performance of the ubiquitous urban mosquito Aedes notoscriptus (Diptera: Culicidae) in Australia varies with water type and temperature. Australian Journal of Entomology 50:2,10.1111/j.1440-6055.2010.00806.x,Shocket et al. 2018. Temperature explains broad patterns of Ross River virus transmission. eLife 7:e37762,10.7554/eLife.37762,Paul Huxley,phuxly@gmail.com,NA,TRUE,01/01/2011,1
NA,NA,development time,mean duration of life stage,NA,NA,12.62,days,0.53,0.53,sd,NA,NA,NA,NA,NA,NA,terrestrial,laboratory,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Aizu Japan,colony,NA,NA,0,decimal,37.494833,139.92975,Aedes albopictus,NA,NA,NA,50,Animalia,Arthropoda,Insecta,Diptera,Culicidae,Aedes,albopictus,juvenile,male,20,Celsius,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,table 1,Kamimura et al. 2002. Effect of temperature on the development of Aedes aegypti and Aedes albopictus. Med. Entomol. Zool. 53: 53-58.,10.7601/mez.53.53_1,NA,NA,Paul Huxley,phuxly@gmail.com,NA,TRUE,NA,2
NA,NA,development time,mean duration of life stage,NA,NA,13.72,days,0.76,0.76,sd,NA,NA,NA,NA,NA,NA,terrestrial,laboratory,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Aizu Japan,colony,NA,NA,0,decimal,37.494833,139.92975,Aedes albopictus,NA,NA,NA,50,Animalia,Arthropoda,Insecta,Diptera,Culicidae,Aedes,albopictus,juvenile,female,20,Celsius,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,table 1,Kamimura et al. 2002. Effect of temperature on the development of Aedes aegypti and Aedes albopictus. Med. Entomol. Zool. 53: 53-58.,10.7601/mez.53.53_1,NA,NA,Paul Huxley,phuxly@gmail.com,NA,TRUE,NA,2
NA,NA,development time,mean duration of life stage,NA,NA,10.31,days,0.88,0.88,sd,NA,NA,NA,NA,NA,NA,terrestrial,laboratory,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Aizu Japan,colony,NA,NA,0,decimal,37.494833,139.92975,Aedes albopictus,NA,NA,NA,50,Animalia,Arthropoda,Insecta,Diptera,Culicidae,Aedes,albopictus,juvenile,male,25,Celsius,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,table 1,Kamimura et al. 2002. Effect of temperature on the development of Aedes aegypti and Aedes albopictus. Med. Entomol. Zool. 53: 53-58.,10.7601/mez.53.53_1,NA,NA,Paul Huxley,phuxly@gmail.com,NA,TRUE,NA,2
NA,NA,development time,mean duration of life stage,NA,NA,10.7,days,0.67,0.67,sd,NA,NA,NA,NA,NA,NA,terrestrial,laboratory,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Aizu Japan,colony,NA,NA,0,decimal,37.494833,139.92975,Aedes albopictus,NA,NA,NA,50,Animalia,Arthropoda,Insecta,Diptera,Culicidae,Aedes,albopictus,juvenile,female,25,Celsius,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,table 1,Kamimura et al. 2002. Effect of temperature on the development of Aedes aegypti and Aedes albopictus. Med. Entomol. Zool. 53: 53-58.,10.7601/mez.53.53_1,NA,NA,Paul Huxley,phuxly@gmail.com,NA,TRUE,NA,2
NA,NA,development time,mean duration of life stage,NA,NA,7.73,days,0.83,0.83,sd,NA,NA,NA,NA,NA,NA,terrestrial,laboratory,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Aizu Japan,colony,NA,NA,0,decimal,37.494833,139.92975,Aedes albopictus,NA,NA,NA,50,Animalia,Arthropoda,Insecta,Diptera,Culicidae,Aedes,albopictus,juvenile,male,30,Celsius,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,table 1,Kamimura et al. 2002. Effect of temperature on the development of Aedes aegypti and Aedes albopictus. Med. Entomol. Zool. 53: 53-58.,10.7601/mez.53.53_1,NA,NA,Paul Huxley,phuxly@gmail.com,NA,TRUE,NA,2
NA,NA,development time,mean duration of life stage,NA,NA,8.36,days,0.92,0.92,sd,NA,NA,NA,NA,NA,NA,terrestrial,laboratory,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Aizu Japan,colony,NA,NA,0,decimal,37.494833,139.92975,Aedes albopictus,NA,NA,NA,50,Animalia,Arthropoda,Insecta,Diptera,Culicidae,Aedes,albopictus,juvenile,female,30,Celsius,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,table 1,Kamimura et al. 2002. Effect of temperature on the development of Aedes aegypti and Aedes albopictus. Med. Entomol. Zool. 53: 53-58.,10.7601/mez.53.53_1,NA,NA,Paul Huxley,phuxly@gmail.com,NA,TRUE,NA,2
